"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
20200318,"VA","",1,,0,,,,,0,,,1201,240,,,,,,,77,,10,0,,,,,2142,,7376,224,1278,250,,,,,,0,,0
20200317,"VA","",1,,0,,,,,0,,,961,523,,,,,,,67,,16,0,,,,,2119,,7152,325,1028,539,,,,,,0,,0
20200316,"VA","",1,,0,,,,,0,,,438,75,,,,,,,51,,6,0,,,,,2107,,6827,88,489,81,,,,,,0,,0
20200315,"VA","",1,,1,,,,,0,,,363,246,,,,,,,45,,15,0,,,,,2100,,6739,59,408,261,,,,,,0,,0
20200314,"VA","",,,0,,,,,0,,,117,0,,,,,,,30,,0,0,,,,,2098,,6680,79,147,0,,,,,,0,,0
20200313,"VA","",,,0,,,,,0,,,117,0,,,,,,,30,,13,0,,,,,2095,,6601,85,147,13,,,,,,0,,0
20200312,"VA","",,,0,,,,,0,,,117,57,,,,,,,17,,8,0,,,,,2094,,6516,32,134,65,,,,,,0,,0
20200311,"VA","",,,0,,,,,0,,,60,7,,,,,,,9,,1,0,,,,,2092,,6484,11,69,8,,,,,,0,,0
20200310,"VA","",,,0,,,,,0,,,53,15,,,,,,,8,,5,0,,,,,2092,,6473,10,61,20,,,,,,0,,0
20200309,"VA","",,,0,,,,,0,,,38,2,,,,,,9,3,,1,0,,,,,2092,,6463,1,41,3,,,,,,0,,0
20200308,"VA","",,,0,,,,,0,,,36,5,,,,,,6,2,,2,0,,,,,2092,,6462,5,38,7,,,,,,0,,0
20200307,"VA","",,,0,,,,,0,,,31,10,,,,,,7,0,,0,0,,,,,2092,,6457,2,31,10,,,,,,0,,0
20200306,"VA","",,,0,,,,,0,,,21,3,,,,,,10,0,,0,0,,,,,2091,,6455,2,21,3,,,,,,0,,0
20200305,"VA","",,,0,,,,,0,,,18,18,,,,,,3,0,,0,0,,,,,2091,,6453,1,18,18,,,,,,0,,0
20200304,"VA","",,,0,,,,,0,,,,0,,,,,,,,,0,0,,,,,2090,,6452,1,0,0,,,,,,0,,0
20200303,"VA","",,,0,,,,,0,,,,0,,,,,,,,,0,0,,,,,2090,,6451,1,0,0,,,,,,0,,0
20200302,"VA","",,,0,,,,,0,,,,0,,,,,,,,,0,0,,,,,2090,,6450,1,0,0,,,,,,0,,0
20200301,"VA","",,,0,,,,,0,,,,0,,,,,,,,,0,0,,,,,2090,,6449,2,0,0,,,,,,0,,0
20200229,"VA","",,,0,,,,,0,,,,0,,,,,,,,,0,0,,,,,2090,,6447,2,0,0,,,,,,0,,0
20200228,"VA","",,,0,,,,,0,,,,0,,,,,,,,,0,0,,,,,2090,,6445,0,0,0,,,,,,0,,0
20200227,"VA","",,,0,,,,,0,,,,0,,,,,,,,,0,0,,,,,,,6445,6445,0,0,,,,,,0,,0
